order_id,product,product_description,origin,destination,shipping_mode,order_date,delay_days,customer_review
ORDXAJI0Y6,Laptop,Laptop shipped via Air from Ibadan to Kano,Ibadan,Kano,Air,2024-01-31,3,delayed shipment due to weather
ORDHSAHXTH,Monitor,Monitor shipped via Road from Port Harcourt to Lagos,Port Harcourt,Lagos,Road,2025-12-15,2,tracking updates were helpful
ORDMF8MDD4,Monitor,Monitor shipped via Express from Port Harcourt to Lagos,Port Harcourt,Lagos,Express,2025-07-03,4,delayed shipment due to weather
ORD9NT3W5U,Laptop,Laptop shipped via Sea from Lagos to Abuja,Lagos,Abuja,Sea,2024-03-22,6,excellent logistics experience
ORD5NQ4FMY,Laptop,Laptop shipped via Road from Ibadan to Abuja,Ibadan,Abuja,Road,2024-06-16,2,poor handling caused delay
ORDN9XUY41,Shoes,Shoes shipped via Express from Lagos to Port Harcourt,Lagos,Port Harcourt,Express,2024-10-01,2,delayed shipment due to weather
ORDH75LXO6,Camera,Camera shipped via Road from Abuja to Port Harcourt,Abuja,Port Harcourt,Road,2024-09-09,6,smooth and fast shipping process
ORDT0PVN9E,Camera,Camera shipped via Air from Lagos to Lagos,Lagos,Lagos,Air,2024-06-05,4,package arrived damaged
ORD2PCN9T8,Smartphone,Smartphone shipped via Sea from Lagos to Ibadan,Lagos,Ibadan,Sea,2025-10-18,2,on time and well packaged
ORDEPQ85JS,Headphones,Headphones shipped via Sea from Ibadan to Lagos,Ibadan,Lagos,Sea,2025-10-16,4,smooth and fast shipping process
ORDVF1T2TA,Watch,Watch shipped via Air from Kano to Lagos,Kano,Lagos,Air,2025-01-06,2,late delivery caused frustration
ORDIIUC039,Keyboard,Keyboard shipped via Express from Abuja to Abuja,Abuja,Abuja,Express,2025-07-16,2,package arrived damaged
ORDJ5PHT0H,Backpack,Backpack shipped via Express from Kano to Port Harcourt,Kano,Port Harcourt,Express,2025-06-13,3,poor handling caused delay
ORDEIMVIHC,Smartphone,Smartphone shipped via Air from Abuja to Lagos,Abuja,Lagos,Air,2024-12-04,0,delayed shipment due to weather
ORDSKRT05U,Shoes,Shoes shipped via Road from Kano to Kano,Kano,Kano,Road,2024-04-06,0,delayed shipment due to weather
ORDXMO5BXX,Smartphone,Smartphone shipped via Air from Kano to Port Harcourt,Kano,Port Harcourt,Air,2024-09-11,1,excellent logistics experience
ORDGQPKI7P,Keyboard,Keyboard shipped via Air from Lagos to Lagos,Lagos,Lagos,Air,2024-04-05,0,excellent logistics experience
ORDFRHOCN9,Backpack,Backpack shipped via Express from Kano to Port Harcourt,Kano,Port Harcourt,Express,2025-12-14,3,smooth and fast shipping process
ORDXRGHC0C,Watch,Watch shipped via Express from Lagos to Lagos,Lagos,Lagos,Express,2025-05-29,1,smooth and fast shipping process
ORDF8CGVYI,Laptop,Laptop shipped via Air from Ibadan to Abuja,Ibadan,Abuja,Air,2025-09-26,0,delayed shipment due to weather
ORDPVS7HZI,Tablet,Tablet shipped via Express from Abuja to Port Harcourt,Abuja,Port Harcourt,Express,2024-11-19,5,delayed shipment due to weather
ORDAWUDTSE,Watch,Watch shipped via Sea from Lagos to Abuja,Lagos,Abuja,Sea,2024-10-18,2,package arrived damaged
ORDPTK93TY,Keyboard,Keyboard shipped via Road from Port Harcourt to Lagos,Port Harcourt,Lagos,Road,2024-09-27,3,delayed shipment due to weather
ORD60FKHMY,Backpack,Backpack shipped via Sea from Ibadan to Kano,Ibadan,Kano,Sea,2024-02-22,0,delayed shipment due to weather
ORDW3BME9F,Camera,Camera shipped via Air from Ibadan to Kano,Ibadan,Kano,Air,2024-04-24,1,delayed shipment due to weather
ORD8YFBNTP,Smartphone,Smartphone shipped via Air from Port Harcourt to Port Harcourt,Port Harcourt,Port Harcourt,Air,2025-01-01,3,excellent logistics experience
ORDYYMU590,Shoes,Shoes shipped via Express from Abuja to Abuja,Abuja,Abuja,Express,2024-01-26,0,package arrived damaged
ORD0L7253J,Laptop,Laptop shipped via Express from Kano to Lagos,Kano,Lagos,Express,2024-08-15,3,excellent logistics experience
ORD3QK2IAG,Watch,Watch shipped via Sea from Port Harcourt to Lagos,Port Harcourt,Lagos,Sea,2024-12-25,1,smooth and fast shipping process
ORDO9T7E8G,Backpack,Backpack shipped via Express from Lagos to Lagos,Lagos,Lagos,Express,2024-12-19,2,on time and well packaged
ORDP9E6GBP,Keyboard,Keyboard shipped via Sea from Ibadan to Abuja,Ibadan,Abuja,Sea,2025-03-17,1,delayed shipment due to weather
ORD87WXE6S,Tablet,Tablet shipped via Sea from Port Harcourt to Kano,Port Harcourt,Kano,Sea,2025-07-21,6,package arrived damaged
ORDGXN0GUO,Smartphone,Smartphone shipped via Road from Port Harcourt to Port Harcourt,Port Harcourt,Port Harcourt,Road,2025-03-16,2,delivery slower than expected
ORDVLPYS28,Headphones,Headphones shipped via Sea from Lagos to Port Harcourt,Lagos,Port Harcourt,Sea,2024-04-05,0,excellent logistics experience
ORDYIHAIR4,Laptop,Laptop shipped via Road from Kano to Kano,Kano,Kano,Road,2025-12-14,4,tracking updates were helpful
ORDRIXA11D,Tablet,Tablet shipped via Express from Abuja to Abuja,Abuja,Abuja,Express,2024-02-21,0,smooth and fast shipping process
ORDI4Q2Y9V,Camera,Camera shipped via Express from Ibadan to Ibadan,Ibadan,Ibadan,Express,2025-07-15,3,poor handling caused delay
ORD60RJIW1,Keyboard,Keyboard shipped via Sea from Kano to Abuja,Kano,Abuja,Sea,2025-03-26,0,delayed shipment due to weather
ORDZIM6CFN,Headphones,Headphones shipped via Express from Abuja to Lagos,Abuja,Lagos,Express,2025-02-21,0,on time and well packaged
ORDTOHP6VZ,Monitor,Monitor shipped via Air from Kano to Kano,Kano,Kano,Air,2024-12-26,3,late delivery caused frustration
